Country,OptIn Date,Language,Agree,AgeGroup,City,Gender,Occupation_raw,Occupation,OwnHouse,CoolHome,Electricity,HoursDay,DrinkingWater,HouseholdPurposes,Rooms,RoofingMaterial,WallMaterial,FloorMaterial,Windows,People in Household,NormallyDo,NormallyDo_raw,PandemicChange,YesPandemicChange_raw,YesPandemicChange,SpendAtHome,AmountOfTime,Income,EatingHabits,WaterIntake,ElectricityUsage,HealthServices,HomeWarm,TemperatureInsideHome,TemperatureOutsideHome,Experience_Blurred vision,Experience_Clammy skin,Experience_Concentration loss,Experience_Confusion,Experience_Convulsions,Experience_Dizziness,Experience_Fainting [brief loss of consciousness],Experience_Fatigue,Experience_Feeling hot,Experience_Feeling listless/lack of engagement with social activities/family,Experience_Feeling sweaty,Experience_Feeling thirsty,Experience_Headache,Experience_Irrational behaviour,Experience_Loss of consciousness [extensive],Experience_Muscle cramps,Experience_Muscle weakness,Experience_Nausea,Experience_Poor quality of sleep,Experience_Rash,Experience_Vomiting,Experience_DONTKNOW,Experience_REFUSED,ExperienceBeforeHeat (Feeling hot),ExperienceBeforeHeat (Feeling sweaty),ExperienceBeforeHeat (Headache),ExperienceBeforeHeat (Dizziness),ExperienceBeforeHeat (Concentration loss),ExperienceBeforeHeat (Irrational behaviour),ExperienceBeforeHeat (Rash),ExperienceBeforeHeat (Muscle weakness),ExperienceBeforeHeat (Fatigue),ExperienceBeforeHeat,ExperienceBeforeHeat (Convulsions),ExperienceBeforeHeat (Feeling thirsty),ExperienceBeforeHeat (Vomiting),ExperienceBeforeHeat (Muscle cramps),ExperienceBeforeHeat (Feeling listless/lack of engagement with social activities/family),ExperienceBeforeHeat (Blurred vision),ExperienceBeforeHeat (Fainting [brief loss of consciousness]),ExperienceBeforeHeat (Clammy skin),ExperienceBeforeHeat (Confusion),ExperienceBeforeHeat (Poor quality of sleep),ExperienceBeforeHeat (Nausea),ExperienceBeforeHeat (Loss of consciousness [extensive]),FeelingMore,PhysicalConflict,HeatAffect,Language2
India,04/07/2020,Hindi,Yes,35+,Hyderabad,MALE,BUSINESS/SELF-EMPLOYED,BUSINESS/SELF-EMPLOYED,NO,TABLE FAN,INFORMAL CONNECTION,20,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,1,SHEET METAL [TIN/ZINC/CORRUGATED IRON],PALM FRONDS/WOVEN MATS,CEMENT,1,5,Use Air Coolers,We use fan.,NO,,,HALF OF THE DAY,SIGNIFICANTLY INCREASED,SLIGHTLY DECREASED,NO CHANGE - IT IS ENOUGH,YES - I USE MORE,I HAVE BEEN ABLE TO USE MORE ENERGY,HARDER,NEUTRAL,HOT,VERY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,NO,,,,,,,,,,,,,,,,SHORT TEMPERED,NO,LESS,Hindi
India,05/07/2020,Hindi,Yes,25-34,Hyderabad,FEMALE,INFORMAL TRADE / STREET SALES,INFORMAL TRADE / STREET SALES,NO,CEILING FAN,INFORMAL CONNECTION,22,SUPPLIED IN TANKS,COMMUNAL OR STREET-END TAP,2,DRIED CLAY,MUD BRICK [CRUDE/RAW/COOKED],CLAY COAT,1,5,Use Air Coolers,Turning on ceiling fan.,YES,Daily items are not easily available.,Other responses,VERY LITTLE – ONLY FOR SLEEPING,SLIGHTLY INCREASED,SLIGHTLY DECREASED,I EAT MORE - IT IS ENOUGH,YES - I USE MORE,I HAVE BEEN ABLE TO USE MORE ENERGY,HARDER,HOT,VERY HOT,SLIGHTLY DIFFICULT TO TOLERATE,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,YES,,,,,,,,,,,,,,,,,,,FRUSTRATED,NO,MORE,Hindi
India,01/07/2020,Hindi,Yes,18-24,Hyderabad,FEMALE,PAID LABOR/WAGE,PAID LABOR/WAGE,NO,OTHER,INFORMAL CONNECTION,19,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,2,DRIED CLAY,MUD BRICK [CRUDE/RAW/COOKED],CLAY COAT,1,5,Use Air Coolers,We put on table fan.,YES,It's too hard.,Other responses,SOME OF THE DAY,SIGNIFICANTLY DECREASED,SLIGHTLY DECREASED,NO CHANGE - IT IS ENOUGH,YES - I USE MORE,I HAVE BEEN ABLE TO USE MORE ENERGY,HARDER,HOT,HOT,PERFECTLY TOLERABLE,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,YES,,,,,,,,,,,IRRITABLE,YES,MORE,Hindi
India,05/07/2020,Hindi,Yes,35+,Hyderabad,MALE,INFORMAL TRADE / STREET SALES,INFORMAL TRADE / STREET SALES,NO,TABLE FAN,INFORMAL CONNECTION,21,SUPPLIED IN TANKS,COMMUNAL OR STREET-END TAP,2,PALM FRONDS,MUD BRICK [CRUDE/RAW/COOKED],CLAY COAT,1,5,Use Air Coolers,Turning on table fan.,YES,It was difficult to arrange food for eating.,Other responses,VERY LITTLE – ONLY FOR SLEEPING,SLIGHTLY INCREASED,SLIGHTLY DECREASED,I EAT MORE - IT IS ENOUGH,YES - I USE MORE,I HAVE BEEN ABLE TO USE MORE ENERGY,THE SAME,COLD,HOT,PERFECTLY TOLERABLE,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,,YES,,,,,,,,,,,,,,,,,,,,FRUSTRATED,NO,MORE,Hindi
India,03/07/2020,Hindi,Yes,25-34,Hyderabad,MALE,PAID LABOR/WAGE,PAID LABOR/WAGE,NO,CEILING FAN,INFORMAL CONNECTION,22,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,2,SHEET METAL [TIN/ZINC/CORRUGATED IRON],MUD BRICK [CRUDE/RAW/COOKED],ASPHALTED FLOOR,2,5,Use Air Coolers,Sit outside or on the fan.,YES,Had no work to do for labours.,Other responses,VERY LITTLE – ONLY FOR SLEEPING,SLIGHTLY DECREASED,SIGNIFICANTLY DECREASED,NO CHANGE - IT IS ENOUGH,YES - I USE LESS,I HAVE HAD TO USE LESS ENERGY,HARDER,VERY HOT,HOT,FAIRLY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,,,,,,,,CAN'T REMEMBER,,,,,,,,,,,,,,MAYBE,SHORT TEMPERED,YES,LESS,Hindi
India,05/07/2020,Hindi,Yes,25-34,Hyderabad,MALE,INFORMAL TRADE / STREET SALES,INFORMAL TRADE / STREET SALES,NO,CEILING FAN,INFORMAL CONNECTION,22,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,2,SHEET METAL [TIN/ZINC/CORRUGATED IRON],MUD BRICK [CRUDE/RAW/COOKED],CEMENT,2,6,Use Air Coolers,Putting on fan.,NO,,,HALF OF THE DAY,SLIGHTLY INCREASED,SIGNIFICANTLY DECREASED,I EAT LESS - IT IS ENOUGH,YES - I USE LESS,I HAVE HAD TO USE LESS ENERGY,HARDER,SLIGHTLY WARM,SLIGHTLY WARM,SLIGHTLY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,YES,,,,,,,,,,,FRUSTRATED,NO,LESS,Hindi
India,04/07/2020,Hindi,Yes,18-24,Hyderabad,FEMALE,PAID LABOR/WAGE,PAID LABOR/WAGE,NO,TABLE FAN,INFORMAL CONNECTION,20,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,2,SHEET METAL [TIN/ZINC/CORRUGATED IRON],MUD BRICK [CRUDE/RAW/COOKED],CEMENT,0,4,spending more time outdoors,We sit under tree.,YES,They give relief to fresh air.,spending more time outdoors,HALF OF THE DAY,SLIGHTLY INCREASED,REMAINED ABOUT THE SAME,NO CHANGE - IT IS NOT ENOUGH,YES - I USE MORE,NO CHANGE,HARDER,NEUTRAL,WARM,SLIGHTLY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,NO,,,,,,,,,,,,,,,,IMPATIENT,NO,LESS,Hindi
India,05/07/2020,Hindi,Yes,25-34,Hyderabad,MALE,PAID LABOR/WAGE,PAID LABOR/WAGE,NO,CEILING FAN,INFORMAL CONNECTION,23,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,2,SHEET METAL [TIN/ZINC/CORRUGATED IRON],MUD BRICK [CRUDE/RAW/COOKED],CEMENT,2,5,Use Air Coolers,Putting on fan.,NO,,,SOME OF THE DAY,SIGNIFICANTLY INCREASED,SIGNIFICANTLY DECREASED,I EAT LESS - IT IS ENOUGH,YES - I USE LESS,I HAVE HAD TO USE LESS ENERGY,HARDER,HOT,WARM,FAIRLY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,YES,,,,,,,,,,,FRUSTRATED,NO,LESS,Hindi
India,06/07/2020,Hindi,Yes,35+,Hyderabad,MALE,BUSINESS/SELF-EMPLOYED,BUSINESS/SELF-EMPLOYED,NO,CEILING FAN,INFORMAL CONNECTION,21,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,1,PALM FRONDS,BAMBOO POLES OR WOOD,ASPHALTED FLOOR,2,6,Use Air Coolers,Fan,NO,,,VERY LITTLE – ONLY FOR SLEEPING,SIGNIFICANTLY INCREASED,SIGNIFICANTLY DECREASED,I EAT LESS - IT IS ENOUGH,YES - I USE LESS,I HAVE HAD TO USE LESS ENERGY,HARDER,HOT,VERY HOT,FAIRLY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,MAYBE,,,,,,,,,,,,,,,,,,,,,IMPATIENT,ABOUT THE SAME,LESS,Hindi
India,05/07/2020,Hindi,Yes,35+,Hyderabad,MALE,INFORMAL TRADE / STREET SALES,INFORMAL TRADE / STREET SALES,NO,TABLE FAN,INFORMAL CONNECTION,23,SUPPLIED IN TANKS,COMMUNAL OR STREET-END TAP,2,PALM FRONDS,PALM FRONDS/WOVEN MATS,CLAY COAT,2,5,Use Air Coolers,Turning on table fan.,YES,Daily items are not available.,Other responses,VERY LITTLE – ONLY FOR SLEEPING,SIGNIFICANTLY INCREASED,SLIGHTLY DECREASED,NO CHANGE - IT IS ENOUGH,YES - I USE MORE,I HAVE BEEN ABLE TO USE MORE ENERGY,HARDER,NEUTRAL,HOT,FAIRLY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,YES,,,,,,,,,,,YES,,,,,,,,,,,FRUSTRATED,NO,MORE,Hindi
