Country,OptIn Date,Agree,AgeGroup,City,Gender,Occupation,OwnHouse,CoolHome,Electricity,HoursDay,DrinkingWater,HouseholdPurposes,Rooms,RoofingMaterial,WallMaterial,FloorMaterial,Windows,People in Household,PandemicChange,SpendAtHome,AmountOfTime,Income,EatingHabits,WaterIntake,ElectricityUsage,HealthServices,HomeWarm,TemperatureInsideHome,TemperatureOutsideHome,Experience_Blurred vision,Experience_Clammy skin,Experience_Concentration loss,Experience_Confusion,Experience_Dizziness,Experience_Fatigue,Experience_Feeling hot,Experience_Feeling listless/lack of engagement with social activities/family,Experience_Feeling sweaty,Experience_Feeling thirsty,Experience_Headache,Experience_Irrational behaviour,Experience_Muscle cramps,Experience_Muscle weakness,Experience_Nausea,Experience_Poor quality of sleep,Experience_Rash,Experience_Vomiting,Experience_98,Experience_99,ExperienceBeforeHeat (Confusion),ExperienceBeforeHeat (Feeling listless/lack of engagement with social activities/family),ExperienceBeforeHeat (Dizziness),ExperienceBeforeHeat (Feeling thirsty),ExperienceBeforeHeat (Nausea),ExperienceBeforeHeat (Fatigue),ExperienceBeforeHeat (Headache),ExperienceBeforeHeat (Feeling hot),ExperienceBeforeHeat (Muscle cramps),ExperienceBeforeHeat (Poor quality of sleep),ExperienceBeforeHeat (Feeling sweaty),ExperienceBeforeHeat (Muscle weakness),ExperienceBeforeHeat (Clammy skin),ExperienceBeforeHeat,ExperienceBeforeHeat (Concentration loss),ExperienceBeforeHeat (Blurred vision),ExperienceBeforeHeat (Rash),ExperienceBeforeHeat (Vomiting),ExperienceBeforeHeat (Irrational behaviour),FeelingMore,PhysicalConflict,HeatAffect
Indonesia,29/06/2020,Yes,35+,Jakarta,FEMALE,Other[Specify],NO,TABLE FAN,INFORMAL CONNECTION,8,BOTTLES,COMMUNAL OR STREET-END TAP,2,DRIED CLAY,MUD BRICK [CRUDE/RAW/COOKED],CERAMIC TILES,6,4,DON'T KNOW,MOST OF THE DAY – EXCEPT FOR SHORT TRIPS OUT,REMAINED ABOUT THE SAME,SLIGHTLY DECREASED,NO CHANGE - IT IS ENOUGH,YES - I USE MORE,I HAVE HAD TO USE LESS ENERGY,HARDER,HOT,HOT,FAIRLY DIFFICULT TO TOLERATE,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,MAYBE,CAN'T REMEMBER,,,,,,,,,,,,,,,,,DON'T KNOW,NO,DON'T KNOW
Indonesia,29/06/2020,Yes,35+,Jakarta,FEMALE,PAID LABOR/WAGE,NO,TABLE FAN,OTHER,12,BOTTLES,COMMUNAL OR STREET-END TAP,1,GALVANISED IRON,BAMBOO POLES OR WOOD,CEMENT,1,7,YES,VERY LITTLE – ONLY FOR SLEEPING,SIGNIFICANTLY INCREASED,SIGNIFICANTLY DECREASED,NO CHANGE - IT IS ENOUGH,NO - NO CHANGE,I HAVE HAD TO USE LESS ENERGY,THE SAME,NEUTRAL,WARM,DON'T KNOW,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,DON'T KNOW,ABOUT THE SAME,ABOUT THE SAME
Indonesia,06/07/2020,Yes,35+,Jakarta,FEMALE,Other[Specify],NO,REFRIGERATOR,INFORMAL CONNECTION,11,BOTTLES,COMMUNAL OR STREET-END TAP,2,SHEET METAL [TIN/ZINC/CORRUGATED IRON],MUD BRICK [CRUDE/RAW/COOKED],CERAMIC TILES,1,3,NO,MOST OF THE DAY – EXCEPT FOR SHORT TRIPS OUT,SLIGHTLY INCREASED,REMAINED ABOUT THE SAME,NO CHANGE - IT IS ENOUGH,YES - I USE MORE,NO CHANGE,THE SAME,HOT,HOT,FAIRLY DIFFICULT TO TOLERATE,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,YES,,,,,YES,,,,,,,,,,,,IRRITABLE,NO,ABOUT THE SAME
Indonesia,27/06/2020,Yes,35+,Jakarta,FEMALE,Other[Specify],NO,CEILING FAN,INFORMAL CONNECTION,24,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,1,GALVANISED IRON,MUD BRICK [CRUDE/RAW/COOKED],CERAMIC TILES,3,7,YES,MOST OF THE DAY – EXCEPT FOR SHORT TRIPS OUT,REMAINED ABOUT THE SAME,SIGNIFICANTLY DECREASED,NO CHANGE - IT IS ENOUGH,NO - NO CHANGE,I HAVE BEEN ABLE TO USE MORE ENERGY,THE SAME,HOT,HOT,VERY DIFFICULT TO TOLERATE,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,CAN'T REMEMBER,,,,,,,,,,,,REFUSED,NO,ABOUT THE SAME
Indonesia,04/07/2020,Yes,35+,Jakarta,FEMALE,Other[Specify],NO,OTHER,OTHER,18,BOTTLES,OTHER,3,DRIED CLAY,REINFORCED CONCRETE,CERAMIC TILES,6,5,YES,HALF OF THE DAY,SLIGHTLY INCREASED,SLIGHTLY DECREASED,NO CHANGE - IT IS ENOUGH,YES - I USE MORE,I HAVE BEEN ABLE TO USE MORE ENERGY,HARDER,NEUTRAL,DON'T KNOW,PERFECTLY TOLERABLE,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,MAYBE,,,,,,,,,,,,,,,,,IRRITABLE,YES,DON'T KNOW
Indonesia,02/07/2020,Yes,35+,Jakarta,MALE,PAID LABOR/WAGE,NO,TABLE FAN,INFORMAL CONNECTION,24,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,1,SHEET METAL [TIN/ZINC/CORRUGATED IRON],MUD BRICK [CRUDE/RAW/COOKED],CERAMIC TILES,2,4,YES,MOST OF THE DAY – EXCEPT FOR SHORT TRIPS OUT,SIGNIFICANTLY INCREASED,SIGNIFICANTLY DECREASED,NO CHANGE - IT IS ENOUGH,NO - NO CHANGE,I HAVE HAD TO USE LESS ENERGY,HARDER,COOL,COOL,VERY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,DON'T KNOW,ABOUT THE SAME,ABOUT THE SAME
Indonesia,01/07/2020,Yes,25-34,Jakarta,FEMALE,Other[Specify],NO,REFRIGERATOR,INFORMAL CONNECTION,12,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,3,DRIED CLAY,BAMBOO POLES OR WOOD,CEMENT,10,4,NO,HALF OF THE DAY,SLIGHTLY INCREASED,REMAINED ABOUT THE SAME,NO CHANGE - IT IS ENOUGH,NO - NO CHANGE,NO CHANGE,HARDER,SLIGHTLY WARM,SLIGHTLY WARM,FAIRLY DIFFICULT TO TOLERATE,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,MAYBE,,,,,,,,,,,,,,FRUSTRATED,NO,LESS
Indonesia,08/07/2020,Yes,35+,Jakarta,FEMALE,Other[Specify],NO,TABLE FAN,OTHER,24,OTHER,COMMUNAL OR STREET-END TAP,1,DRIED CLAY,MUD BRICK [CRUDE/RAW/COOKED],CERAMIC TILES,4,2,YES,MOST OF THE DAY – EXCEPT FOR SHORT TRIPS OUT,REMAINED ABOUT THE SAME,SLIGHTLY DECREASED,I EAT MORE - IT IS ENOUGH,NO - NO CHANGE,NO CHANGE,THE SAME,NEUTRAL,COOL,DON'T KNOW,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,IRRITABLE,NO,ABOUT THE SAME
Indonesia,01/07/2020,Yes,35+,Jakarta,FEMALE,Other[Specify],NO,TABLE FAN,INFORMAL CONNECTION,4,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,1,SHEET METAL [TIN/ZINC/CORRUGATED IRON],BAMBOO POLES OR WOOD,CEMENT,1,3,YES,HALF OF THE DAY,SIGNIFICANTLY DECREASED,SIGNIFICANTLY DECREASED,I EAT LESS - IT IS ENOUGH,YES - I USE LESS,I HAVE HAD TO USE LESS ENERGY,HARDER,HOT,VERY HOT,VERY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,UNHAPPY,NO,ABOUT THE SAME
Indonesia,08/07/2020,Yes,25-34,Jakarta,MALE,BUSINESS/SELF-EMPLOYED,NO,CEILING FAN,OTHER,24,BOTTLES,SUPPLIED IN TANKS,2,SHEET METAL [TIN/ZINC/CORRUGATED IRON],MUD BRICK [CRUDE/RAW/COOKED],CERAMIC TILES,2,4,NO,HALF OF THE DAY,SIGNIFICANTLY DECREASED,SLIGHTLY DECREASED,NO CHANGE - IT IS ENOUGH,NO - NO CHANGE,NO CHANGE,THE SAME,NEUTRAL,COMFORTABLE,FAIRLY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,REFUSED,DON'T KNOW,REFUSED
